Time,Longitude (deg),Latitude (deg),Altitude (ft),Ground speed (kt),Fuel level (lbs)
10.0083,-122.3571945,37.6135528,3.98417812,0.0001289298408,126.0156071
20,-122.3571945,37.61355281,3.984172577,0.0001329413724,126.0156071
30,-122.3571945,37.61355282,3.984171975,0.0001335359228,126.0156071
40,-122.3571945,37.61355282,3.984171781,0.0001328284435,126.0156071
50.025,-122.3571945,37.61355283,3.984171267,0.000133687971,126.0156071
60.0167,-122.3571945,37.61355284,3.984170451,0.0001329458368,126.0156071
70.0333,-122.3571945,37.61355284,3.984170635,0.0001329033714,126.0156071
80.0167,-122.3571954,37.61355324,3.983507934,0.0003022866664,126.0093372
90.0167,-122.3571954,37.61355324,3.983488667,0.0001401420144,126.0037813
100.008,-122.3574869,37.61367277,4.001900019,15.01798724,125.9568738
110.025,-122.3587734,37.61420215,4.111003414,34.42641618,125.8977538
120.025,-122.3610299,37.61513055,4.445779325,52.56634849,125.8370628
130.025,-122.3641834,37.61634117,21.46146003,64.25527036,125.7740043
140.042,-122.3675917,37.6176562,66.05301455,64.95400008,125.7101722
150.033,-122.370962,37.61897882,114.9153052,65.00265561,125.6463809
160.017,-122.3743035,37.62040847,158.5974584,65.68629311,125.5826389
170.033,-122.3776823,37.62178645,215.9834245,64.14529593,125.5185456
180.017,-122.3809431,37.62326294,258.0736352,65.18642275,125.4548268
190,-122.3842009,37.62469301,318.3851288,63.19517037,125.3909803
200.008,-122.3874787,37.62613074,360.0606032,64.21956453,125.3269069
210.017,-122.3906157,37.62767895,412.5442548,63.48637656,125.2630029
220.008,-122.3937604,37.62921063,446.0196286,66.15091437,125.1991333
230,-122.3960509,37.63143595,524.1931509,58.97654383,125.1352211
240,-122.3968467,37.63410966,555.5313206,58.71862555,125.0718527
250.017,-122.3968287,37.63681612,585.2265597,58.55756682,125.0084371
260.025,-122.3964784,37.63945931,619.4205393,56.57082092,124.9452147
270.008,-122.3959062,37.64206687,679.3280668,56.08719333,124.856313
280,-122.3949397,37.64469111,730.0862548,60.48902672,124.7634964
290.008,-122.3941399,37.64738625,804.7789845,62.31937301,124.6730377
300.017,-122.3931308,37.65018841,886.2059578,61.84917693,124.5880459
310.008,-122.3922012,37.65293859,964.9703015,61.46041574,124.5051332
320.017,-122.3902737,37.65551378,968.0230472,71.18953808,124.4328685
330.017,-122.3867576,37.6571949,1023.372724,72.11804897,124.3627204
340.017,-122.382541,37.65747313,1064.321545,72.87492163,124.3021018
350.008,-122.3783162,37.65678406,1083.265026,76.15611219,124.2452089
360.017,-122.374044,37.65570973,1102.824989,78.25764966,124.1909668
370.008,-122.3699169,37.65406102,1112.12091,80.49256636,124.1396255
380.008,-122.3657168,37.65233124,1132.32013,80.46988076,124.0892351
390.008,-122.3615989,37.65059266,1145.835163,80.68969485,124.0417863
400.017,-122.3574813,37.64870756,1153.592566,81.08230356,123.9941973
410.017,-122.3535394,37.64670792,1170.977991,80.55012754,123.9468362
420.008,-122.3495382,37.64468955,1173.643013,81.86306056,123.8992831
430.017,-122.3456766,37.6424137,1180.957812,82.33705684,123.8516804
440.025,-122.3418641,37.64010173,1189.81343,82.87496801,123.8040799
450.025,-122.3380929,37.637676,1193.209465,83.65487547,123.7565595
460.017,-122.3340586,37.63551894,1207.618271,83.11405231,123.7088766
470.025,-122.3299502,37.63336259,1203.043869,85.04836124,123.6611075
480.033,-122.3257019,37.63115914,1178.264564,88.99428605,123.6132716
490.008,-122.3213875,37.62895098,1185.927007,86.71324774,123.5688251
500.025,-122.3169657,37.6269824,1166.937896,88.16615509,123.5245749
